Stock Name,Stock Count,Company,Sector,Industry,Country,Market Cap,P/E,Price,Volume,EPS Time,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Date,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Divident,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
KRP,88,"Kimbell Royalty Partners, LP",Basic Materials,Oil & Gas Drilling & Exploration,USA,322.66M,-,13.62,"39,251",Tomorrow Before Market EPS,2-Buy ,BUY,C- (Hold),D,November6,49.35,-,3.28,0.87,19.09,4.58,82.10%,150.90%,-,47.31%,142.60%,12.33%,-2.60%,-7.00%,-12.60%,7.10,7.10,0.26,0.26,-,-20.20%,-21.10%,Nov 07/b,23.69M,8.55M,1.80%,8.01%,59.50%,0.02%,0.56%,0.86,55.57K,-3.68%,-4.95%,-6.33%,-17.95%,-27.20%,0.29%,3.79%,2.83%,1.70,0.71,-,0.44,-3.01%,-5.46%,-15.95%,-28.03%,4.69%,42.40,-4.69%,-0.42%
KTB,89,"Kontoor Brands, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,2.18B,11.97,38.24,"1,033,756",Tomorrow Before Market EPS,4-Sell ,BUY,None,],November6,10.38,-,0.81,26.37,28.36,-,6.20%,-3.71%,-,-2.10%,-,5.86%,-,-,13.10%,2.50,1.10,11.92,12.04,39.20%,-,-,Nov 07/b,56.88M,56.51M,0.70%,-,91.40%,2.23%,8.55%,5.92,815.18K,-2.89%,10.36%,13.07%,-,-,-5.58%,4.77%,4.14%,2.40,1.27,-,1.59,-0.30%,5.90%,14.24%,-8.41%,48.33%,52.55,-2.50%,-0.28%
LAND,112,Gladstone Land Corporation,Financial,REIT - Diversified,USA,248.43M,59.06,11.99,"72,113",Today After Market EPS,3-Hold ,BUY,C- (Hold),C,November6,-,5.91,7.72,0.97,8.66,-,-200.00%,-46.70%,22.30%,10.00%,55.50%,4.50%,0.50%,1.70%,-,-,-,1.64,1.64,81.50%,43.90%,9.50%,Nov 06/a,20.72M,18.26M,11.10%,10.05%,30.40%,-3.83%,3.85%,5.19,135.63K,0.25%,0.25%,2.65%,-3.46%,-4.77%,4.44%,1.02%,1.07%,2.00,0.53,0.79,0.14,0.68%,1.13%,-0.22%,-13.43%,7.82%,55.35,-1.07%,0.50%
LAZY,90,"Lazydays Holdings, Inc.",Services,Auto Dealerships,USA,32.39M,-,3.82,"2,286",Tomorrow Before Market EPS,,BUY,D+ (Sell),F,November6,34.73,-,0.05,0.47,1.07,1.07,-92.10%,130.60%,-,25.00%,-,-,-1.70%,-8.40%,4.00%,1.40,0.40,0.21,1.46,21.30%,2.20%,-1.10%,Nov 07/b,8.48M,8.01M,4.90%,-,63.50%,1.18%,0.34%,4.66,5.76K,-5.45%,-17.85%,-23.60%,-16.93%,-49.34%,-29.26%,5.03%,5.40%,2.50,0.40,-,0.26,-12.36%,-15.40%,-25.68%,-45.66%,6.16%,35.75,0.00%,2.60%
LBTYA,113,Liberty Global Plc,Services,CATV Systems,United Kingdom,17.43B,-,25.03,"1,486,340",Today After Market EPS,5-Strong Sell ,HOLD,None,D,November6,-,-,1.51,4.45,13.74,4.51,82.00%,63.50%,17.50%,-,-1.90%,-,2.00%,22.80%,1.00%,0.40,0.40,6.35,7.24,58.30%,5.40%,9.20%,Nov 06/a,696.46M,690.46M,0.70%,-7.65%,91.00%,-0.25%,1.36%,3.49,2.69M,0.48%,1.17%,-3.02%,-4.79%,-2.26%,17.29%,1.87%,2.54%,2.70,0.55,1.46,0.59,0.24%,-2.66%,-3.81%,-12.54%,25.91%,46.74,-2.49%,1.06%
LBTYB,114,Liberty Global Plc,Services,CATV Systems,United Kingdom,299.57M,17.45,24.64,0,Today After Market EPS,,None,None,D,November6,-,-,0.03,4.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nov 06/a,12.16M,-,-,-,0.26%,-,-,0.25,0.72K,-0.44%,-7.32%,-2.57%,-24.99%,-17.81%,17.33%,0.00%,1.11%,-,0.04,-,0.58,-7.31%,-7.21%,-18.38%,-18.00%,19.03%,38.12,0.00%,0.00%
LCI,115,"Lannett Company, Inc.",Healthcare,Drugs - Generic,USA,469.13M,-,12.51,"1,027,213",Today After Market EPS,1-Strong Buy ,HOLD,D+ (Sell),A,November6,7.80,-,0.72,1.42,-,3.09,-839.10%,26.70%,-45.10%,15.00%,19.10%,-,-21.80%,-83.00%,-17.70%,2.70,1.90,1.98,2.18,37.20%,-40.10%,-41.50%,Nov 06/a,37.50M,31.44M,7.90%,1.45%,99.90%,-1.05%,48.32%,7.50,2.03M,4.25%,2.71%,86.16%,85.88%,202.91%,152.22%,5.57%,5.20%,3.00,0.51,2.21,0.61,5.92%,5.44%,50.97%,-19.39%,205.87%,54.93,1.71%,0.00%
LCUT,91,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,154.33M,460.62,7.37,"49,558",Tomorrow Before Market EPS,2-Buy ,HOLD,D+ (Sell),D,November6,7.23,46.06,0.21,0.58,14.70,7.72,-100.20%,71.43%,-15.70%,10.00%,7.00%,2.31%,-0.10%,-0.20%,2.80%,2.70,1.00,1.12,1.17,35.20%,2.80%,-0.10%,Nov 07/b,20.94M,10.82M,12.40%,4.36%,46.20%,0.33%,3.74%,18.48,21.91K,-9.57%,-6.35%,-6.47%,-22.91%,-29.54%,-26.52%,5.55%,5.46%,3.00,2.26,1.26,0.49,-9.06%,-10.92%,-18.60%,-40.56%,10.08%,38.54,-4.16%,-0.90%
LHCG,116,"LHC Group, Inc.",Healthcare,Home Health Care,USA,3.93B,46.22,127.00,"323,381",Today After Market EPS,1-Strong Buy ,BUY,A- (Buy),B,November6,27.52,3.15,1.93,2.90,147.26,35.62,13.80%,6.34%,11.90%,14.66%,22.40%,-,4.30%,6.50%,5.70%,1.60,1.60,0.17,0.17,36.50%,7.00%,4.20%,Nov 06/a,30.96M,29.62M,1.20%,-11.07%,94.70%,0.79%,6.34%,8.83,212.77K,12.05%,16.58%,3.94%,10.38%,33.50%,35.28%,3.80%,2.58%,1.80,1.52,0.78,3.83,10.80%,9.80%,10.89%,-1.83%,44.02%,69.44,2.50%,-0.15%
LIVX,92,"LiveXLive Media, Inc.",Services,Entertainment - Diversified,USA,86.82M,-,1.49,"69,630",Tomorrow Before Market EPS,3-Hold ,BUY,E+ (Sell),D,November6,-,-,2.44,49.67,8.68,-,-51.50%,30.60%,-,-,37.10%,-,-63.90%,-300.70%,-126.80%,0.40,0.40,8.11,9.33,10.80%,-95.40%,-,Nov 07/b,58.27M,30.62M,0.30%,-,30.40%,16.52%,9.82%,25.20,119.27K,-7.45%,5.67%,-49.49%,-69.02%,-51.15%,-69.90%,9.25%,10.33%,2.10,0.58,-,0.17,-9.28%,-22.13%,-60.76%,-79.40%,9.42%,39.90,-5.70%,-1.25%
LKFN,93,Lakeland Financial Corporation,Financial,Regional - Midwest Banks,USA,1.18B,14.04,47.02,"38,716",Tomorrow Before Market EPS,3-Hold ,HOLD,B (Buy),C,November6,14.95,1.40,5.46,2.13,5.45,17.64,29.80%,-4.32%,14.80%,10.00%,13.10%,2.55%,1.70%,15.70%,22.80%,-,-,0.05,0.05,-,68.80%,38.70%,Nov 07/b,25.14M,24.44M,1.90%,-1.59%,76.20%,0.28%,5.54%,20.24,66.89K,0.21%,9.40%,8.84%,-1.01%,8.22%,17.08%,1.29%,1.68%,2.70,0.58,0.92,0.86,4.08%,6.15%,3.26%,-4.43%,24.43%,67.70,-0.17%,-0.28%
LKSD,94,"LSC Communications, Inc.",Services,Business Services,USA,33.23M,-,0.95,"431,727",Tomorrow Before Market EPS,5-Strong Sell ,HOLD,D (Sell),F,November6,3.90,-,0.01,0.25,1.95,0.41,36.40%,102.50%,-17.20%,-12.70%,0.50%,109.70%,-9.00%,-100.60%,1.20%,1.10,0.80,5.07,6.60,13.80%,-0.10%,-4.60%,Nov 07/b,35.05M,32.40M,3.80%,24.07%,76.30%,-4.14%,6.78%,2.96,741.41K,-9.71%,-18.97%,10.37%,-85.19%,-90.35%,-86.46%,8.80%,8.07%,3.30,0.58,-,0.09,-12.94%,-22.85%,-78.54%,-91.21%,11.53%,37.68,-6.14%,0.00%
LLEX,95,"Lilis Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,21.12M,-,0.23,"420,513",Tomorrow Before Market EPS,4-Sell ,HOLD,D (Sell),F,November6,-,-,0.27,0.92,3.02,-,88.20%,22.40%,46.30%,-,71.10%,-,-5.90%,-277.00%,-17.40%,0.50,0.50,5.39,0.00,73.90%,-44.10%,-36.00%,Nov 07/b,91.82M,75.24M,3.90%,1.70%,55.80%,-0.18%,7.84%,12.60,467.71K,0.00%,-27.60%,-28.08%,-79.65%,-92.68%,-83.21%,7.34%,10.85%,2.60,0.90,1.12,0.02,-7.70%,-24.02%,-73.31%,-93.27%,21.05%,38.29,-2.25%,0.99%
LNT,117,Alliant Energy Corporation,Utilities,Electric Utilities,USA,12.40B,24.28,51.90,"2,227,938",Today After Market EPS,3-Hold ,BUY,A (Buy),B,November6,21.55,4.71,3.46,2.62,72.85,-,13.80%,6.45%,5.70%,5.15%,1.50%,2.74%,3.30%,11.00%,6.10%,0.50,0.40,1.16,1.39,93.40%,19.70%,14.30%,Nov 06/a,238.91M,237.14M,0.10%,-9.15%,79.20%,-0.07%,3.54%,6.77,1.24M,-1.98%,-2.79%,1.09%,12.14%,20.84%,22.84%,1.46%,1.32%,2.40,1.79,0.20,0.69,-1.88%,-1.94%,5.77%,-4.93%,27.58%,42.45,-0.17%,0.54%
LOPE,118,"Grand Canyon Education, Inc.",Services,Education & Training Services,USA,4.46B,19.01,91.88,"422,513",Today After Market EPS,3-Hold ,STRONG BUY,B- (Buy),D,November6,15.77,-,6.32,3.31,55.73,13.81,18.50%,8.17%,19.70%,-,7.20%,-,15.90%,18.90%,15.70%,1.00,1.00,0.16,0.19,99.70%,33.00%,33.10%,Nov 06/a,48.52M,47.71M,1.30%,-14.95%,-,0.18%,2.33%,2.96,376.75K,-0.60%,-5.19%,-26.43%,-21.47%,-26.71%,-4.43%,2.20%,2.48%,1.30,1.12,0.63,2.37,-2.77%,-11.69%,-18.76%,-30.77%,1.33%,29.20,0.34%,-0.26%
LVGO,119,"Livongo Health, Inc.",Healthcare,Medical Appliances & Equipment,USA,1.92B,-,21.20,"1,770,049",Today After Market EPS,3-Hold ,BUY,None,],November6,-,-,17.00,-,50.25,-,-97.30%,59.20%,-,-,-,-,-,-,38.20%,2.70,2.40,-,-,68.60%,-,-,Nov 06/a,90.55M,90.19M,4.40%,-,56.00%,25.18%,5.04%,4.30,1.06M,-1.17%,10.99%,-36.16%,-,-,-44.36%,7.55%,6.97%,1.70,1.67,-,1.51,1.83%,-4.26%,-20.44%,-53.59%,40.21%,49.46,-6.32%,-0.26%
LXRX,96,"Lexicon Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,409.15M,-,3.85,"1,034,251",Tomorrow Before Market EPS,3-Hold ,BUY,D- (Sell),C,November6,-,-,9.49,-,3.86,-,5.60%,-353.60%,4.30%,-,95.30%,-,-32.60%,213.00%,-47.20%,5.50,5.30,-,-,93.00%,-,-,Nov 07/b,106.27M,105.26M,0.80%,244.32%,-,0.17%,10.56%,5.36,2.07M,0.26%,6.94%,200.78%,-44.04%,-54.65%,-42.02%,5.73%,7.40%,2.30,0.50,0.94,0.27,7.94%,29.49%,-18.00%,-58.74%,242.22%,63.25,-1.28%,-1.27%
MBUU,97,"Malibu Boats, Inc.",Consumer Goods,"Recreational Goods, Other",USA,698.34M,10.70,33.72,"280,891",Tomorrow Before Market EPS,3-Hold ,BUY,B- (Buy),D,November6,8.00,0.71,1.02,3.45,25.49,10.98,-11.40%,9.00%,56.70%,15.00%,29.10%,-,15.30%,37.80%,23.90%,1.70,0.80,0.56,0.56,24.30%,14.30%,9.70%,Nov 07/b,20.71M,19.73M,1.30%,0.00%,-,-1.39%,4.10%,3.07,263.33K,-1.86%,11.77%,19.11%,-19.58%,-19.71%,-3.10%,4.12%,3.49%,2.00,1.07,1.79,1.18,3.99%,9.28%,-7.76%,-33.74%,36.02%,58.60,-0.56%,-0.24%
MCFT,98,"MasterCraft Boat Holdings, Inc.",Consumer Goods,Recreational Vehicles,USA,313.52M,14.55,16.51,"220,559",Tomorrow Before Market EPS,5-Strong Sell ,BUY,C+ (Hold),F,November6,5.90,1.45,0.67,4.26,54.06,7.50,-45.40%,10.24%,-0.30%,10.00%,21.30%,-,8.70%,30.40%,15.00%,0.80,0.30,1.45,1.57,24.30%,7.10%,4.60%,Nov 07/b,18.99M,18.20M,3.10%,-0.14%,95.40%,-0.08%,4.00%,2.34,310.57K,-3.84%,13.39%,9.41%,-36.25%,-46.17%,-11.71%,4.51%,4.15%,2.20,0.71,1.69,0.63,7.81%,8.89%,-16.12%,-50.97%,23.86%,56.40,0.67%,0.18%
MCHX,120,"Marchex, Inc.",Services,Marketing Services,USA,138.97M,-,3.25,"78,001",Today After Market EPS,2-Buy ,BUY,C- (Hold),B,November6,-,-,1.45,1.54,2.72,20.74,-133.80%,-,-5.30%,15.00%,-10.40%,-,-3.10%,-3.80%,-3.90%,3.70,3.70,0.00,0.00,46.00%,-5.00%,-3.70%,Nov 06/a,42.76M,35.57M,4.60%,36.83%,81.80%,0.84%,1.39%,4.45,110.74K,-1.22%,2.52%,-10.22%,-37.26%,16.49%,22.64%,3.20%,3.73%,2.00,0.70,1.48,0.12,1.55%,-0.42%,-22.06%,-41.65%,29.48%,50.09,-3.56%,-0.30%
MEET,99,"The Meet Group, Inc.",Technology,Internet Information Providers,USA,298.36M,35.25,4.16,"2,099,300",Tomorrow Before Market EPS,2-Buy ,BUY,C+ (Hold),B,November6,7.32,1.47,1.49,1.52,11.43,9.91,101.80%,17.36%,15.50%,24.00%,34.60%,-,3.40%,4.60%,1.50%,1.20,1.20,0.09,0.16,-,6.20%,4.50%,Nov 07/b,71.72M,70.93M,2.60%,-0.17%,70.50%,-2.27%,18.13%,10.92,1.18M,-2.58%,-5.88%,21.28%,-5.45%,-8.77%,-10.15%,4.30%,4.08%,1.60,1.78,1.51,0.23,-4.86%,7.34%,-5.30%,-33.65%,36.39%,48.25,-1.65%,-5.79%
MFC,121,Manulife Financial Corporation,Financial,Life Insurance,Canada,37.94B,9.42,19.31,"3,642,499",Today After Market EPS,2-Buy ,STRONG BUY,B (Buy),B,November6,6.19,1.07,0.80,1.11,2.98,2.75,78.20%,6.13%,6.30%,8.82%,15.90%,3.88%,0.70%,13.10%,10.50%,-,-,0.28,0.28,-,12.60%,9.10%,Nov 06/a,1.97B,1.95B,0.01%,0.00%,53.70%,-1.47%,0.31%,3.86,1.59M,2.93%,11.75%,14.53%,7.10%,17.17%,36.08%,1.36%,1.44%,1.50,2.29,1.43,0.31,4.13%,7.30%,10.21%,0.13%,44.86%,69.95,0.63%,0.05%
MGNX,122,"MacroGenics, Inc.",Healthcare,Biotechnology,USA,393.98M,-,8.37,"461,951",Today After Market EPS,3-Hold ,BUY,D (Sell),C,November6,-,-,6.94,1.39,1.45,-,-670.50%,-1.80%,-,-,0.70%,-,-41.90%,-54.50%,-70.50%,5.80,5.80,0.00,0.00,-,-,-,Nov 06/a,47.07M,45.40M,0.10%,-7.83%,98.70%,-0.12%,9.63%,9.84,443.87K,-3.18%,-27.34%,-42.51%,-51.98%,-49.36%,-34.09%,4.25%,5.32%,1.70,1.04,2.26,0.56,-16.35%,-29.61%,-46.77%,-74.10%,0.72%,25.24,-1.88%,0.35%
MLR,123,"Miller Industries, Inc.",Consumer Goods,Auto Parts,USA,419.44M,11.27,36.60,"77,553",Today After Market EPS,,None,A+ (Buy),A,November6,-,-,0.53,1.72,15.42,119.84,37.80%,-,29.10%,-,12.00%,1.97%,10.00%,16.80%,13.70%,2.00,1.50,0.08,0.09,11.50%,5.90%,4.90%,Nov 06/a,11.46M,10.99M,0.90%,-28.20%,88.30%,-0.24%,1.27%,3.63,38.62K,1.55%,18.22%,11.65%,8.86%,57.15%,35.56%,3.07%,3.25%,-,2.01,0.96,1.13,8.85%,10.57%,15.40%,-2.92%,60.53%,67.54,-2.19%,-0.03%
MNLO,124,Menlo Therapeutics Inc.,Healthcare,Biotechnology,USA,118.61M,-,5.13,"30,866",Today After Market EPS,2-Buy ,BUY,None,C,November6,-,-,-,1.20,1.08,-,-147.10%,15.50%,-,-,-,-,-49.10%,-53.20%,-,9.50,9.50,0.00,0.01,-,-,-,Nov 06/a,23.12M,19.60M,19.10%,-,78.30%,-0.41%,1.01%,3.92,50.28K,1.99%,17.12%,58.33%,-24.56%,-24.45%,24.51%,4.80%,6.12%,2.20,0.61,-,0.31,5.14%,6.00%,-12.87%,-43.20%,90.71%,56.96,0.20%,-0.78%
MRCC,125,Monroe Capital Corporation,Financial,Mortgage Investment,USA,228.30M,19.68,11.18,"103,916",Today After Market EPS,3-Hold ,BUY,C (Hold),C,November6,7.76,3.94,3.71,0.89,76.10,-,-55.90%,3.22%,-25.80%,5.00%,26.20%,12.52%,2.00%,4.50%,5.60%,-,-,1.58,1.58,51.20%,48.30%,18.90%,Nov 06/a,20.42M,19.98M,2.07%,0.00%,23.10%,-1.36%,0.39%,0.61,127.84K,-1.06%,8.86%,1.27%,-8.44%,-11.69%,16.46%,0.96%,1.98%,1.90,0.81,1.22,0.19,2.98%,6.25%,-2.86%,-16.44%,22.86%,63.05,-0.27%,-0.53%
MRO,126,Marathon Oil Corporation,Basic Materials,Independent Oil & Gas,USA,9.90B,10.32,12.18,"18,378,344",Today After Market EPS,3-Hold ,BUY,C (Hold),F,November6,24.17,0.23,1.65,0.82,9.96,5.50,227.20%,-28.91%,-0.30%,44.68%,-11.90%,1.64%,4.60%,8.10%,7.60%,1.10,1.10,0.41,0.45,86.70%,20.20%,16.30%,Nov 06/a,813.00M,802.25M,0.30%,0.00%,86.50%,-0.23%,3.23%,2.17,11.94M,5.36%,9.83%,-5.29%,-20.24%,-34.83%,-15.06%,3.50%,3.66%,2.10,1.54,2.28,0.46,3.28%,0.56%,-15.53%,-36.89%,10.13%,52.62,-3.03%,-0.63%
MSGN,100,MSG Networks Inc.,Services,Entertainment - Diversified,USA,1.25B,6.99,17.17,"1,165,422",Tomorrow Before Market EPS,4-Sell ,HOLD,C (Hold),D,November6,6.70,5.37,1.74,-,5.54,6.17,-35.40%,-2.18%,6.10%,1.30%,0.20%,-,22.20%,-34.90%,40.60%,2.50,2.50,-,-,58.30%,43.00%,25.80%,Nov 07/b,73.03M,58.85M,0.60%,-,-,2.65%,31.47%,15.08,1.23M,4.06%,11.20%,-7.49%,-22.20%,-35.11%,-27.12%,3.53%,2.83%,3.10,0.95,0.64,0.48,5.46%,4.74%,-14.58%,-38.35%,25.10%,62.01,2.39%,-0.42%
MT,101,ArcelorMittal,Basic Materials,Steel & Iron,Luxembourg,15.08B,7.84,15.82,"3,719,670",Tomorrow Before Market EPS,3-Hold ,BUY,C (Hold),F,November6,11.01,-,0.20,0.38,4.13,9.97,13.10%,43.99%,28.30%,-9.24%,-0.90%,1.26%,2.30%,4.90%,12.60%,1.40,0.50,0.26,0.33,-,4.30%,2.70%,Nov 07/b,953.31M,639.69M,44.80%,0.00%,2.70%,-0.39%,1.20%,2.28,3.37M,3.06%,22.64%,8.88%,-16.21%,-38.01%,-23.46%,2.70%,2.41%,1.80,1.10,2.76,0.55,5.36%,6.62%,-12.06%,-39.48%,26.26%,54.72,-2.41%,-0.92%
MTRX,127,Matrix Service Company,Basic Materials,Oil & Gas Equipment & Services,USA,516.77M,18.79,19.09,"189,267",Today After Market EPS,3-Hold ,STRONG BUY,B- (Buy),C,November6,12.20,1.88,0.36,1.45,5.76,23.70,326.60%,21.22%,-5.20%,10.00%,2.30%,-,4.60%,8.40%,7.70%,1.50,1.10,0.02,0.02,9.30%,2.70%,2.00%,Nov 06/a,27.07M,26.66M,2.70%,-4.28%,92.70%,-1.01%,1.79%,2.91,163.94K,-0.42%,14.31%,2.91%,-14.20%,-7.73%,6.41%,2.83%,3.58%,1.00,1.15,0.96,0.63,2.85%,4.06%,-1.98%,-21.99%,23.72%,56.21,-0.88%,-0.41%
MVIS,128,"MicroVision, Inc.",Technology,Diversified Electronics,USA,74.35M,-,0.65,"609,350",Today After Market EPS,3-Hold ,BUY,D- (Sell),C,November6,-,-,4.51,-,16.16,-,10.50%,42.90%,7.80%,10.00%,24.60%,-,-136.00%,-,-663.90%,0.50,0.50,-,-,38.50%,-,-,Nov 06/a,113.61M,111.83M,1.60%,0.00%,21.20%,-0.19%,7.35%,19.15,429.24K,-13.32%,-11.32%,4.29%,-28.21%,-37.07%,8.37%,7.76%,8.83%,1.80,1.42,0.60,0.06,-8.74%,-0.61%,-20.95%,-54.52%,29.34%,44.01,-2.63%,-4.80%
NBL,102,"Noble Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,9.99B,-,20.90,"7,572,171",Tomorrow Before Market EPS,3-Hold ,BUY,C- (Hold),D,November6,76.56,-,2.16,1.11,-,-,88.20%,175.00%,-16.90%,5.01%,-0.10%,2.30%,-4.30%,-9.70%,0.40%,0.60,0.60,0.76,0.79,83.10%,-16.60%,-19.90%,Nov 07/b,478.00M,466.44M,1.36%,0.00%,-,0.04%,6.53%,5.46,5.59M,7.68%,7.40%,-6.03%,-14.13%,-22.39%,11.41%,3.90%,4.03%,1.90,1.36,1.37,0.84,3.45%,-3.79%,-7.58%,-27.83%,22.15%,50.37,-2.84%,-0.74%
NBLX,103,Noble Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,USA,939.36M,5.95,23.24,"185,053",Tomorrow Before Market EPS,2-Buy ,HOLD,C (Hold),D,November6,5.59,1.74,1.61,1.52,99.93,-,-3.30%,17.62%,85.60%,3.41%,148.80%,11.57%,7.10%,26.70%,16.20%,0.80,-,1.43,1.44,55.70%,39.10%,26.60%,Nov 07/b,40.42M,37.54M,0.10%,0.00%,53.30%,-3.16%,3.30%,4.20,294.30K,-3.57%,-3.49%,-15.31%,-25.42%,-32.62%,-19.42%,2.55%,2.74%,2.60,0.63,-,0.69,-3.67%,-5.91%,-24.58%,-47.16%,4.31%,34.12,-2.06%,-0.08%
NCLH,104,Norwegian Cruise Line Holdings Ltd.,Services,Resorts & Casinos,USA,11.10B,11.68,52.06,"2,753,593",Tomorrow Before Market EPS,3-Hold ,BUY,B (Buy),C,November6,9.14,2.29,1.76,1.82,26.43,9.64,29.80%,11.91%,54.30%,5.10%,18.70%,-,6.30%,16.20%,9.70%,0.30,0.20,0.93,1.03,44.00%,19.50%,15.60%,Nov 07/b,213.20M,211.00M,0.50%,-9.72%,-,-0.09%,2.95%,3.34,1.86M,1.70%,10.37%,7.12%,-9.60%,12.95%,22.81%,1.88%,1.95%,1.60,1.48,1.68,1.12,3.16%,1.63%,-1.42%,-12.81%,32.27%,54.69,-1.31%,0.50%
NEWT,129,Newtek Business Services Corp.,Services,Business Services,USA,421.48M,11.09,22.09,"215,354",Today After Market EPS,4-Sell ,HOLD,B (Buy),B,November6,9.55,3.70,4.24,1.44,117.08,-,-15.20%,6.25%,13.90%,3.00%,-8.40%,12.86%,5.70%,13.00%,-,-,-,1.26,1.26,-,39.90%,38.00%,Nov 06/a,19.08M,17.88M,5.90%,0.29%,19.40%,2.12%,7.77%,11.08,125.44K,0.36%,4.74%,6.71%,-1.82%,13.57%,26.66%,1.78%,1.74%,2.80,1.72,1.21,0.43,0.64%,-1.28%,3.06%,-7.92%,41.69%,49.42,-1.56%,-0.18%
NGS,105,"Natural Gas Services Group, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,155.22M,177.97,12.28,"42,730",Tomorrow Before Market EPS,3-Hold ,BUY,C- (Hold),D,November6,36.88,7.74,2.20,0.61,5.19,-,-70.90%,117.65%,-51.10%,23.00%,-6.00%,-,0.30%,0.30%,0.10%,11.20,6.80,0.00,0.00,47.20%,1.30%,1.30%,Nov 07/b,12.64M,12.33M,4.60%,-0.57%,88.40%,-4.51%,0.59%,0.72,100.95K,1.57%,2.68%,-5.61%,-24.34%,-35.30%,-25.30%,3.96%,3.78%,2.00,0.42,1.32,0.49,0.19%,-0.94%,-19.85%,-42.10%,20.16%,48.12,-3.08%,-0.16%
NHI,106,"National Health Investors, Inc.",Financial,REIT - Healthcare Facilities,USA,3.53B,22.58,80.90,"388,310",Tomorrow Before Market EPS,3-Hold ,HOLD,B (Buy),A,November6,20.74,2.26,11.63,2.46,629.58,-,-5.30%,6.64%,5.80%,10.00%,20.10%,5.19%,5.50%,11.00%,5.80%,-,-,1.04,1.04,-,50.70%,50.70%,Nov 07/b,43.58M,41.67M,0.10%,-6.24%,73.40%,-0.14%,2.96%,6.54,188.67K,-5.47%,-2.33%,-0.25%,6.80%,9.04%,7.10%,2.01%,1.35%,2.90,2.06,0.29,1.28,-3.98%,-3.07%,0.82%,-6.52%,11.97%,35.48,-2.02%,0.01%
NICK,107,"Nicholas Financial, Inc.",Financial,Credit Services,USA,66.74M,-,8.59,429,Tomorrow Before Market EPS,,None,D (Sell),D,November6,-,-,0.96,0.64,8.90,6.42,-267.60%,-,-18.40%,5.00%,-2.90%,-,-1.80%,-4.20%,-1.40%,-,-,1.38,1.40,-,-8.50%,-6.50%,Nov 07/b,7.77M,7.25M,1.80%,251.11%,66.20%,3.44%,0.83%,6.17,9.76K,0.12%,-2.94%,0.88%,-7.63%,-25.30%,-17.40%,0.48%,1.89%,-,0.04,0.42,0.17,-1.70%,-4.26%,-7.34%,-27.75%,8.43%,43.69,-1.94%,1.36%
NKSH,130,"National Bankshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,272.51M,16.73,43.05,"7,837",Today After Market EPS,,BUY,B (Buy),C,November6,17.02,-,6.08,1.52,3.53,20.19,3.20%,-1.56%,-1.90%,-,-1.10%,3.11%,1.40%,9.30%,18.80%,-,-,0.00,0.00,-,83.60%,38.60%,Nov 06/a,6.33M,6.24M,0.20%,26.60%,30.30%,0.10%,0.89%,6.09,9.10K,2.74%,12.90%,22.13%,2.97%,0.00%,18.17%,2.88%,3.25%,2.00,0.86,0.51,1.25,5.53%,10.44%,11.36%,-8.48%,32.38%,70.22,0.07%,-0.30%
NKTR,131,Nektar Therapeutics,Healthcare,Biotechnology,USA,3.16B,-,18.10,"2,210,002",Today After Market EPS,3-Hold ,BUY,D (Sell),F,November6,-,-,26.53,2.03,2.08,-,289.50%,13.60%,36.30%,-7.30%,51.60%,-,-19.50%,-25.20%,34.90%,14.10,14.00,0.16,0.00,80.90%,-,-,Nov 06/a,174.55M,173.58M,1.20%,-18.87%,96.30%,0.25%,19.16%,8.57,3.88M,3.13%,11.87%,-38.79%,-48.94%,-54.75%,-44.93%,4.12%,4.97%,2.40,0.57,2.60,0.88,4.67%,0.25%,-39.33%,-61.58%,15.77%,51.70,-2.06%,-0.32%
